source	query	error
commoncrawl	CC-MAIN-2015-48 theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-48-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2016-50 theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-50-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2015-48 www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-48-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2015-48 dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-48-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2015-48 dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-48-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2016-50 www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-50-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2015-48 theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2015-48-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2016-50 dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-50-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2016-50 theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-50-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2016-50 www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-50-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2016-50 dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2016-50-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2017-51 theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2017-51-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2017-51 www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2017-51-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2017-51 www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2017-51-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2018-51 theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2018-51-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2017-51 theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2017-51-index?url=theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2017-51 dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2017-51-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2018-51 dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2018-51-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2018-51 www.theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2018-51-index?url=www.theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2017-51 dreamwardgames.com/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2017-51-index?url=dreamwardgames.com%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2018-51 dreamward.home.pl/theroomz/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2018-51-index?url=dreamward.home.pl%2Ftheroomz%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2018-51 theroomz.yoyo.pl/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2018-51-index?url=theroomz.yoyo.pl%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
commoncrawl	CC-MAIN-2018-51 www.theroomz.org/*	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2018-51-index?url=www.theroomz.org%2F%2A&output=json&filter=status%3A200: <urlopen error timed out>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=3&sid=7ef5711a0baa9b282c62bad9f68405d2	RuntimeError('https://web.archive.org/web/20080101232541id_/http://theroomz.19.forumer.com:80/viewforum.php?f=3&sid=7ef5711a0baa9b282c62bad9f68405d2: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=3	RuntimeError('https://web.archive.org/web/20080207153735id_/http://theroomz.19.forumer.com:80/viewforum.php?f=3: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=1	RuntimeError('https://web.archive.org/web/20080208153433id_/http://theroomz.19.forumer.com:80/viewforum.php?f=1: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=2&sid=7ef5711a0baa9b282c62bad9f68405d2	RuntimeError('https://web.archive.org/web/20080101232536id_/http://theroomz.19.forumer.com:80/viewforum.php?f=2&sid=7ef5711a0baa9b282c62bad9f68405d2: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=4&sid=7ef5711a0baa9b282c62bad9f68405d2	RuntimeError('https://web.archive.org/web/20080101232546id_/http://theroomz.19.forumer.com:80/viewforum.php?f=4&sid=7ef5711a0baa9b282c62bad9f68405d2: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=11	RuntimeError('https://web.archive.org/web/20080208153443id_/http://theroomz.19.forumer.com:80/viewforum.php?f=11: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=3&mark=topics&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('https://web.archive.org/web/20080208153503id_/http://theroomz.19.forumer.com:80/viewforum.php?f=3&mark=topics&sid=0c892ab91f8b899c616578b04962c74f: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=13	RuntimeError('https://web.archive.org/web/20080208153453id_/http://theroomz.19.forumer.com:80/viewforum.php?f=13: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=2	RuntimeError('https://web.archive.org/web/20080208153459id_/http://theroomz.19.forumer.com:80/viewforum.php?f=2: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=1&sid=4862fac383862b5b82b03766f0043eef	RuntimeError('https://web.archive.org/web/20080302154048id_/http://theroomz.19.forumer.com:80/viewforum.php?f=1&sid=4862fac383862b5b82b03766f0043eef: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=2&sid=b2ec63d2e4bb6c3f3db232b0fbb5e106	RuntimeError('https://web.archive.org/web/20090220161239id_/http://theroomz.19.forumer.com:80/viewforum.php?f=2&sid=b2ec63d2e4bb6c3f3db232b0fbb5e106: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=3	RuntimeError('https://web.archive.org/web/20081223090344id_/http://theroomz.19.forumer.com:80/viewforum.php?f=3: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=11&sid=f2dbd3156c446535979bbadbe4cecd87	RuntimeError('https://web.archive.org/web/20081221120202id_/http://theroomz.19.forumer.com:80/viewforum.php?f=11&sid=f2dbd3156c446535979bbadbe4cecd87: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=1	RuntimeError('https://web.archive.org/web/20081223080759id_/http://theroomz.19.forumer.com:80/viewforum.php?f=1: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=2	RuntimeError('https://web.archive.org/web/20081223080804id_/http://theroomz.19.forumer.com:80/viewforum.php?f=2: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=11&sid=3a26dce90972b24a6567438494a036d9	RuntimeError('https://web.archive.org/web/20110913125429id_/http://theroomz.19.forumer.com:80/viewforum.php?f=11&sid=3a26dce90972b24a6567438494a036d9: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=24&sid=3a26dce90972b24a6567438494a036d9	RuntimeError('https://web.archive.org/web/20110913104035id_/http://theroomz.19.forumer.com:80/viewforum.php?f=24&sid=3a26dce90972b24a6567438494a036d9: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=1&sid=3a26dce90972b24a6567438494a036d9	RuntimeError('https://web.archive.org/web/20110913145230id_/http://theroomz.19.forumer.com:80/viewforum.php?f=1&sid=3a26dce90972b24a6567438494a036d9: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=13&sid=3a26dce90972b24a6567438494a036d9	RuntimeError('https://web.archive.org/web/20110914081329id_/http://theroomz.19.forumer.com:80/viewforum.php?f=13&sid=3a26dce90972b24a6567438494a036d9: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=11&sid=4ca32550b505914085a104b27f8a4846	RuntimeError('https://web.archive.org/web/20110618032827id_/http://theroomz.19.forumer.com:80/viewforum.php?f=11&sid=4ca32550b505914085a104b27f8a4846: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=23&sid=3a26dce90972b24a6567438494a036d9	RuntimeError('https://web.archive.org/web/20110912215056id_/http://theroomz.19.forumer.com:80/viewforum.php?f=23&sid=3a26dce90972b24a6567438494a036d9: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=1&sid=454fdcfa870628647f68c063eb7b4daf	RuntimeError('https://web.archive.org/web/20120214184821id_/http://theroomz.19.forumer.com:80/viewforum.php?f=1&sid=454fdcfa870628647f68c063eb7b4daf: <urlopen error [Errno 111] Connection refused>')
forumer-viewforum	http://theroomz.19.forumer.com:80/viewforum.php?f=18&sid=454fdcfa870628647f68c063eb7b4daf	RuntimeError('https://web.archive.org/web/20120214184835id_/http://theroomz.19.forumer.com:80/viewforum.php?f=18&sid=454fdcfa870628647f68c063eb7b4daf: <urlopen error [Errno 111] Connection refused>')
forumer-viewtopic	http://theroomz.19.forumer.com:80/viewtopic.php?t=236&start=75&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('https://web.archive.org/web/20080208155236id_/http://theroomz.19.forumer.com:80/viewtopic.php?t=236&start=75&sid=0c892ab91f8b899c616578b04962c74f: <urlopen error [Errno 111] Connection refused>')
forumer-viewtopic	http://theroomz.19.forumer.com:80/viewtopic.php?t=308&start=75&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('https://web.archive.org/web/20080208155307id_/http://theroomz.19.forumer.com:80/viewtopic.php?t=308&start=75&sid=0c892ab91f8b899c616578b04962c74f: <urlopen error [Errno 111] Connection refused>')
forumer-viewtopic	http://theroomz.19.forumer.com:80/viewtopic.php?t=308&start=50&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('https://web.archive.org/web/20080208155301id_/http://theroomz.19.forumer.com:80/viewtopic.php?t=308&start=50&sid=0c892ab91f8b899c616578b04962c74f: <urlopen error [Errno 111] Connection refused>')
forumer-viewtopic	http://theroomz.19.forumer.com:80/viewtopic.php?t=215&start=75&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('https://web.archive.org/web/20080208155146id_/http://theroomz.19.forumer.com:80/viewtopic.php?t=215&start=75&sid=0c892ab91f8b899c616578b04962c74f: <urlopen error [Errno 111] Connection refused>')
forumer-viewtopic	http://theroomz.19.forumer.com:80/viewtopic.php?t=215&start=0&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('https://web.archive.org/web/20080208155131id_/http://theroomz.19.forumer.com:80/viewtopic.php?t=215&start=0&sid=0c892ab91f8b899c616578b04962c74f: <urlopen error [Errno 111] Connection refused>')
forumer-viewtopic	http://theroomz.19.forumer.com:80/viewtopic.php?t=212&start=150&sid=0c892ab91f8b899c616578b04962c74f	RuntimeError('https://web.archive.org/web/20080208155125id_/http://theroomz.19.forumer.com:80/viewtopic.php?t=212&start=150&sid=0c892ab91f8b899c616578b04962c74f: <urlopen error [Errno 111] Connection refused>')
