source	line	text
originals/recovered/yoyo-by-capture/20070203021337/www.theroomz.yoyo.pl/index.html	22	<a href="http://www.yoyo.pl" target=blank>Darmowy hosting - YOYO.PL</a>
originals/recovered/yoyo-by-capture/20070203021337/www.theroomz.yoyo.pl/index.html	23	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070203021337/www.theroomz.yoyo.pl/index.html	37	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP98B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8MGplLmMxZQuxAwt2MQtlAQEzAQAyLGp2ZQp5ZmxmL2HkMGWwMTAuLaj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070212145101/www.theroomz.yoyo.pl/roomz.htm	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070212145101/www.theroomz.yoyo.pl/roomz.htm	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070212145101/www.theroomz.yoyo.pl/roomz.htm	20	<param name="movie" value="RoomzMain.swf" /><param name="menu" value="false" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" menu="false" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070212145101/www.theroomz.yoyo.pl/roomz.htm	30	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8MQVjMzExMQSvBGEwAGEyMwEyMwRkZwqyMQH1ZQDkLGRjATSvMzAuLKj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070212155253/www.theroomz.yoyo.pl/index.html	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070212155253/www.theroomz.yoyo.pl/index.html	19	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="800" height="500" id="Website" align="middle">
originals/recovered/yoyo-by-capture/20070212155253/www.theroomz.yoyo.pl/index.html	21	<param name="movie" value="Website.swf" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="Website.swf" quality="high" bgcolor="#000000" width="800" height="500" name="Website" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070212155253/www.theroomz.yoyo.pl/index.html	24	<script language="javascript" src="http://www.activstats.pl/c/activestat.php?counter=78c5d7e6bafe9a86ea14"></script><br>
originals/recovered/yoyo-by-capture/20070212155253/www.theroomz.yoyo.pl/index.html	25	<a href="http://www.yoyo.pl" target=blank>Darmowy hosting - YOYO.PL</a>
originals/recovered/yoyo-by-capture/20070212155253/www.theroomz.yoyo.pl/index.html	26	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070212155253/www.theroomz.yoyo.pl/index.html	40	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP98B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8BQLjAwpmAJWwZmIyATSxLGquZJZ0ZTRmA2ZlMGZlZGp1LmtmL2VkAKj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070220112352/www.theroomz.yoyo.pl/index.html	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070220112352/www.theroomz.yoyo.pl/index.html	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="800" height="500" id="Website" align="middle">
originals/recovered/yoyo-by-capture/20070220112352/www.theroomz.yoyo.pl/index.html	20	<param name="movie" value="Website.swf" /><param name="quality" value="high" /><param name="menu" value="false" /><param name="bgcolor" value="#000000" /><embed src="Website.swf" menu="false" quality="high" bgcolor="#000000" width="800" height="500" name="Website" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070220112352/www.theroomz.yoyo.pl/index.html	23	<script language="javascript" src="http://www.activstats.pl/c/activestat.php?counter=78c5d7e6bafe9a86ea14"></script><br>
originals/recovered/yoyo-by-capture/20070220112352/www.theroomz.yoyo.pl/index.html	24	<a href="http://www.yoyo.pl" target=blank>Darmowy hosting - YOYO.PL</a>
originals/recovered/yoyo-by-capture/20070220112352/www.theroomz.yoyo.pl/index.html	25	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070220112352/www.theroomz.yoyo.pl/index.html	32	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070220112352/www.theroomz.yoyo.pl/index.html	46	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP98B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8L2IwA2R2ZQp3BQZlAQN5LzV2MGZlL2H4BQLlMQMvLwNlZzZlATVkL3j7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070220112512/www.theroomz.yoyo.pl/roomz.htm	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070220112512/www.theroomz.yoyo.pl/roomz.htm	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070220112512/www.theroomz.yoyo.pl/roomz.htm	20	<param name="movie" value="RoomzMain.swf" /><param name="menu" value="false" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" menu="false" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070220112512/www.theroomz.yoyo.pl/roomz.htm	22	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070220112512/www.theroomz.yoyo.pl/roomz.htm	29	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070220112512/www.theroomz.yoyo.pl/roomz.htm	43	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8AzMxZJAxLwqzZmLlAGV1BJR3AmHmBQN0BQx1AGHjLJIzAzAwZwpkAUj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070227224035/www.theroomz.yoyo.pl/index.html	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070227224035/www.theroomz.yoyo.pl/index.html	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="800" height="500" id="Website" align="middle">
originals/recovered/yoyo-by-capture/20070227224035/www.theroomz.yoyo.pl/index.html	20	<param name="movie" value="Website.swf" /><param name="quality" value="high" /><param name="menu" value="false" /><param name="bgcolor" value="#000000" /><embed src="Website.swf" menu="false" quality="high" bgcolor="#000000" width="800" height="500" name="Website" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070227224035/www.theroomz.yoyo.pl/index.html	23	<script language="javascript" src="http://www.activstats.pl/c/activestat.php?counter=78c5d7e6bafe9a86ea14"></script><br>
originals/recovered/yoyo-by-capture/20070227224035/www.theroomz.yoyo.pl/index.html	24	<a href="http://www.yoyo.pl" target=blank>Darmowy hosting - YOYO.PL</a>
originals/recovered/yoyo-by-capture/20070227224035/www.theroomz.yoyo.pl/index.html	25	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070227224035/www.theroomz.yoyo.pl/index.html	32	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070227224035/www.theroomz.yoyo.pl/index.html	46	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP98B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8AzAyZQV1BQHmBGAwMJZ3BQRlMTZlMQRkAQEzZGuxZmWyAwuzZTV1Laj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070227224047/www.theroomz.yoyo.pl/roomz.htm	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070227224047/www.theroomz.yoyo.pl/roomz.htm	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070227224047/www.theroomz.yoyo.pl/roomz.htm	20	<param name="movie" value="RoomzMain.swf" /><param name="menu" value="false" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" menu="false" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070227224047/www.theroomz.yoyo.pl/roomz.htm	22	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070227224047/www.theroomz.yoyo.pl/roomz.htm	29	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070227224047/www.theroomz.yoyo.pl/roomz.htm	43	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8Z2AzMzL1Amp4A2HlMwEvMTL0AJR2MTDlAmyxAJRmL2D2ZwSwAGAxA3j7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070307144359/www.theroomz.yoyo.pl/roomz.htm	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070307144359/www.theroomz.yoyo.pl/roomz.htm	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070307144359/www.theroomz.yoyo.pl/roomz.htm	20	<param name="movie" value="RoomzMain.swf" /><param name="menu" value="false" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" menu="false" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070307144359/www.theroomz.yoyo.pl/roomz.htm	22	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070307144359/www.theroomz.yoyo.pl/roomz.htm	29	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070307144359/www.theroomz.yoyo.pl/roomz.htm	43	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8A2Z1AQSzAJIuMwLlLJD4ZQMuZzH0L2D0MTAwZGR5AGWyZwRmMQt4Z3j7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070315080611/www.theroomz.yoyo.pl/roomz.htm	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070315080611/www.theroomz.yoyo.pl/roomz.htm	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070315080611/www.theroomz.yoyo.pl/roomz.htm	20	<param name="movie" value="RoomzMain.swf" /><param name="menu" value="false" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" menu="false" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070315080611/www.theroomz.yoyo.pl/roomz.htm	22	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070315080611/www.theroomz.yoyo.pl/roomz.htm	29	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070315080611/www.theroomz.yoyo.pl/roomz.htm	43	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8BQH2MwSwBJD1LzLlMQSxAmL5AmMvL2H0AwuyZJR1ZwyxLmH4L2LjAKj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070317075126/www.theroomz.yoyo.pl/index.html	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070317075126/www.theroomz.yoyo.pl/index.html	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="800" height="500" id="Website" align="middle">
originals/recovered/yoyo-by-capture/20070317075126/www.theroomz.yoyo.pl/index.html	20	<param name="movie" value="Website.swf" /><param name="quality" value="high" /><param name="menu" value="false" /><param name="bgcolor" value="#000000" /><embed src="Website.swf" menu="false" quality="high" bgcolor="#000000" width="800" height="500" name="Website" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070317075126/www.theroomz.yoyo.pl/index.html	23	<script language="javascript" src="http://www.activstats.pl/c/activestat.php?counter=78c5d7e6bafe9a86ea14"></script><br>
originals/recovered/yoyo-by-capture/20070317075126/www.theroomz.yoyo.pl/index.html	24	<a href="http://www.yoyo.pl" target=blank>Darmowy hosting - YOYO.PL</a>
originals/recovered/yoyo-by-capture/20070317075126/www.theroomz.yoyo.pl/index.html	25	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070317075126/www.theroomz.yoyo.pl/index.html	32	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070317075126/www.theroomz.yoyo.pl/index.html	46	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP98B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8BTSxAJD2ZGV5BJH1AwEzLJZ0ZQt4LJIvAGOuMJDmBGN4BQMvZGIzMUj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script></body>
originals/recovered/yoyo-by-capture/20070323131613/www.theroomz.yoyo.pl/roomz.htm	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070323131613/www.theroomz.yoyo.pl/roomz.htm	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070323131613/www.theroomz.yoyo.pl/roomz.htm	20	<param name="movie" value="RoomzMain.swf" /><param name="menu" value="false" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" menu="false" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070323131613/www.theroomz.yoyo.pl/roomz.htm	22	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070323131613/www.theroomz.yoyo.pl/roomz.htm	29	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070406210112/www.theroomz.yoyo.pl/index.html	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070406210112/www.theroomz.yoyo.pl/index.html	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="800" height="500" id="Website" align="middle">
originals/recovered/yoyo-by-capture/20070406210112/www.theroomz.yoyo.pl/index.html	20	<param name="movie" value="Website.swf" /><param name="quality" value="high" /><param name="menu" value="false" /><param name="bgcolor" value="#000000" /><embed src="Website.swf" menu="false" quality="high" bgcolor="#000000" width="800" height="500" name="Website" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070406210112/www.theroomz.yoyo.pl/index.html	23	<script language="javascript" src="http://www.activstats.pl/c/activestat.php?counter=78c5d7e6bafe9a86ea14"></script><br>
originals/recovered/yoyo-by-capture/20070406210112/www.theroomz.yoyo.pl/index.html	24	<a href="http://www.yoyo.pl" target=blank>Darmowy hosting - YOYO.PL</a>
originals/recovered/yoyo-by-capture/20070406210112/www.theroomz.yoyo.pl/index.html	25	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070406210112/www.theroomz.yoyo.pl/index.html	32	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070406210112/www.theroomz.yoyo.pl/index.html	46	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP98B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8ZJDmA2RmBTAyMQtlAGp0AzSyAmDjMwOxLGxmA2EyMzR4BGLmAzAwMUj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script><script src="http://www.google-analytics.com/urchin.js" type="text/javascript"></script><script type="text/javascript">_uacct = "UA-1482806-8"; urchinTracker(); </script></body>
originals/recovered/yoyo-by-capture/20070408021203/www.theroomz.yoyo.pl/roomz.htm	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070408021203/www.theroomz.yoyo.pl/roomz.htm	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="640" height="440" id="RoomzMain" align="middle">
originals/recovered/yoyo-by-capture/20070408021203/www.theroomz.yoyo.pl/roomz.htm	20	<param name="movie" value="RoomzMain.swf" /><param name="menu" value="false" /><param name="quality" value="high" /><param name="bgcolor" value="#000000" /><embed src="RoomzMain.swf" menu="false" quality="high" bgcolor="#000000" width="640" height="440" name="RoomzMain" align="middle" allowScriptAccess="sameDomain" type="application/x-shockwave-flash" pluginspage="http://www.macromedia.com/go/getflashplayer" />
originals/recovered/yoyo-by-capture/20070408021203/www.theroomz.yoyo.pl/roomz.htm	22	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070408021203/www.theroomz.yoyo.pl/roomz.htm	29	<script src="http://www.google-analytics.com/urchin.js" type="text/javascript">
originals/recovered/yoyo-by-capture/20070408021203/www.theroomz.yoyo.pl/roomz.htm	43	<script type="text/javascript" src="http://t.yoyo.pl/pure.js"></script><noscript><img src="http://t.yoyo.pl/l.php?t=2&p=AwDhZwN4YwR3Zv4kAmy8B3k3q3phqTuypz9ioKbhrJ95ol5joUj7sS9RK3j7sS9HK3j7sP9lo29grv5bqT18B3kcLI9upzAbnKMypaj7sUj7sUj7sQO8B3jjsQg8MGx3LGyzLmZ5AGEvMzD0L2SuLmOxMwV2ZTD4AGpkBJEuLwpjLwEwMKj7sQNhZv4jsQg8ZUj7sQR=" alt="" /></noscript><script src="/yoyo.pnq"></script><script src="http://www.google-analytics.com/urchin.js" type="text/javascript"></script><script type="text/javascript">_uacct = "UA-1482806-8"; urchinTracker(); </script></body>
originals/recovered/yoyo-by-capture/20070408211316/www.theroomz.yoyo.pl/index.html	1	<html xmlns="http://www.w3.org/1999/xhtml" xml:lang="en" lang="en">
originals/recovered/yoyo-by-capture/20070408211316/www.theroomz.yoyo.pl/index.html	18	<object classid="clsid:d27cdb6e-ae6d-11cf-96b8-444553540000" codebase="http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=8,0,0,0" width="800" height="500" id="Website" align="middle">
